time,t,o,h,l,c,hour,minute,month,day,year
2024-04-02 03:45,2024-04-02 03:45:00,47490.75,47541.0,47410.45,47500.3,3,45,4,2,2024
2024-04-02 04:00,2024-04-02 04:00:00,47497.7,47694.55,47484.05,47688.7,4,0,4,2,2024
2024-04-02 04:15,2024-04-02 04:15:00,47689.25,47706.4,47560.75,47580.55,4,15,4,2,2024
2024-04-02 04:30,2024-04-02 04:30:00,47584.8,47632.4,47564.85,47575.75,4,30,4,2,2024
2024-04-02 04:45,2024-04-02 04:45:00,47577.9,47627.5,47558.75,47586.1,4,45,4,2,2024
2024-04-02 05:00,2024-04-02 05:00:00,47586.55,47606.45,47546.4,47596.15,5,0,4,2,2024
2024-04-02 05:15,2024-04-02 05:15:00,47593.5,47622.45,47565.0,47568.85,5,15,4,2,2024
2024-04-02 05:30,2024-04-02 05:30:00,47568.0,47697.35,47550.85,47623.25,5,30,4,2,2024
2024-04-02 05:45,2024-04-02 05:45:00,47619.55,47631.55,47599.1,47615.7,5,45,4,2,2024
2024-04-02 06:00,2024-04-02 06:00:00,47618.2,47649.2,47602.25,47605.75,6,0,4,2,2024
