time,t,o,h,l,c,hour,minute,month,day,year
2024-03-02 06:00,2024-03-02 06:00:00,47327.0,47343.75,47240.35,47298.7,6,0,3,2,2024
2024-03-02 06:15,2024-03-02 06:15:00,47297.4,47348.15,47256.2,47265.65,6,15,3,2,2024
2024-03-02 06:30,2024-03-02 06:30:00,47267.95,47318.3,47263.55,47294.55,6,30,3,2,2024
2024-03-02 06:45,2024-03-02 06:45:00,47295.3,47314.5,47281.35,47294.6,6,45,3,2,2024
2024-03-02 07:00,2024-03-02 07:00:00,47295.2,47297.5,47291.9,47297.5,7,0,3,2,2024
2024-03-02 07:15,2024-03-02 07:15:00,47297.5,47297.5,47297.5,47297.5,7,15,3,2,2024
2024-03-04 03:45,2024-03-04 03:45:00,47318.5,47459.65,47306.85,47361.45,3,45,3,4,2024
2024-03-04 04:00,2024-03-04 04:00:00,47356.95,47410.6,47308.6,47383.75,4,0,3,4,2024
2024-03-04 04:15,2024-03-04 04:15:00,47381.55,47385.35,47283.35,47330.0,4,15,3,4,2024
2024-03-04 04:30,2024-03-04 04:30:00,47328.35,47436.4,47299.9,47413.3,4,30,3,4,2024
2024-03-04 04:45,2024-03-04 04:45:00,47411.65,47484.4,47411.65,47459.15,4,45,3,4,2024
2024-03-04 05:00,2024-03-04 05:00:00,47457.25,47517.45,47449.7,47488.9,5,0,3,4,2024
2024-03-04 05:15,2024-03-04 05:15:00,47489.8,47489.8,47241.0,47242.4,5,15,3,4,2024
2024-03-04 05:30,2024-03-04 05:30:00,47241.4,47326.0,47199.9,47320.65,5,30,3,4,2024
2024-03-04 05:45,2024-03-04 05:45:00,47319.9,47355.85,47249.0,47323.3,5,45,3,4,2024
2024-03-04 06:00,2024-03-04 06:00:00,47326.85,47337.1,47285.2,47324.3,6,0,3,4,2024
2024-03-04 06:15,2024-03-04 06:15:00,47327.05,47350.55,47276.75,47290.75,6,15,3,4,2024
2024-03-04 06:30,2024-03-04 06:30:00,47294.1,47328.0,47265.7,47309.3,6,30,3,4,2024
2024-03-04 06:45,2024-03-04 06:45:00,47300.6,47352.9,47299.95,47344.1,6,45,3,4,2024
2024-03-04 07:00,2024-03-04 07:00:00,47341.15,47373.1,47318.6,47363.85,7,0,3,4,2024
2024-03-04 07:15,2024-03-04 07:15:00,47365.5,47371.4,47273.75,47351.2,7,15,3,4,2024
2024-03-04 07:30,2024-03-04 07:30:00,47351.1,47369.95,47325.6,47326.75,7,30,3,4,2024
2024-03-04 07:45,2024-03-04 07:45:00,47326.4,47397.55,47325.05,47360.9,7,45,3,4,2024
2024-03-04 08:00,2024-03-04 08:00:00,47357.95,47411.75,47356.6,47393.15,8,0,3,4,2024
2024-03-04 08:15,2024-03-04 08:15:00,47390.3,47404.1,47353.55,47386.8,8,15,3,4,2024
2024-03-04 08:30,2024-03-04 08:30:00,47383.15,47490.65,47365.75,47485.3,8,30,3,4,2024
2024-03-04 08:45,2024-03-04 08:45:00,47485.1,47506.6,47437.9,47452.85,8,45,3,4,2024
2024-03-04 09:00,2024-03-04 09:00:00,47456.95,47483.9,47335.0,47367.55,9,0,3,4,2024
2024-03-04 09:15,2024-03-04 09:15:00,47372.3,47436.65,47362.55,47421.9,9,15,3,4,2024
2024-03-04 09:30,2024-03-04 09:30:00,47419.15,47523.25,47419.15,47484.8,9,30,3,4,2024
2024-03-04 09:45,2024-03-04 09:45:00,47481.35,47486.0,47378.0,47425.65,9,45,3,4,2024
2024-03-04 10:00,2024-03-04 10:00:00,47418.9,47456.1,47418.9,47456.1,10,0,3,4,2024
2024-03-05 03:45,2024-03-05 03:45:00,47265.7,47346.7,47202.0,47309.65,3,45,3,5,2024
2024-03-05 04:00,2024-03-05 04:00:00,47314.15,47389.15,47294.45,47368.35,4,0,3,5,2024
2024-03-05 04:15,2024-03-05 04:15:00,47363.75,47379.75,47318.9,47336.25,4,15,3,5,2024
2024-03-05 04:30,2024-03-05 04:30:00,47334.0,47359.4,47285.45,47330.45,4,30,3,5,2024
2024-03-05 04:45,2024-03-05 04:45:00,47331.3,47334.35,47241.8,47321.95,4,45,3,5,2024
2024-03-05 05:00,2024-03-05 05:00:00,47321.15,47336.2,47283.35,47325.05,5,0,3,5,2024
